Price,MPG,passenger_capacity,passenger_door,weight_lbs,passenger_volume_ft3,wheelbase_in,trach_width_front_in,height_in,fuel_tank_gal,sae_net_torque_rpm,sae_net_horsepower_rpm,Displacement,trans_type,airbag_frontal_driver,airbag_frontal_passenger,airbag_passenger_switch_onoff,airbag_side_body_front,airbag_side_body_rear,aibag_side_head_front,aibag_side_head_rear,brakes_abs,child_safety_doorlocks_rear,daytime_running_lights,traction_control,night_vision,rollover_protection_bars,fog_lamps,parking_aid,tire_pressure_motor,backup_camera,stability_control,Mileage,basic_years,corrosion_miles_km,corrosion_years,Drivetrain_Years,Curb_to,road_size,Make,front_wid,ratio,rim,Engine_Electric,Engine_Flat,Engine_I6,Engine_l3,Engine_l4,Engine_l5,Engine_l6,Engine_V6,Engine_V8,Engine_V10,Engine_V12,Engine_W8,Engine_W12,Drivetrain_4WD,Drivetrain_AWD,Drivetrain_FWD,Drivetrain_RWD,Category_Car,Category_Pickup,Category_SUV,Category_Van
42700,20,5,4,3781,104,106,63,65,16,252,279,4,6,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,50000,4,150000,5,70000,6,39,50000,2018,235,60,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
37300,20,5,4,3743,104,106,63,65,16,252,279,4,6,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2018,235,60,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
36000,20,5,4,3737,104,106,63,65,16,252,279,4,6,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2018,235,60,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
42500,19,5,4,3935,104,106,63,65,16,252,279,4,6,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2018,235,60,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
41200,19,5,4,3931,104,106,63,65,16,252,279,4,6,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2018,235,60,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
44200,19,5,4,3946,104,106,63,65,16,252,279,4,6,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,50000,4,150000,5,70000,6,39,50000,2018,235,60,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
38800,19,5,4,3907,104,106,63,65,16,252,279,4,6,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2018,235,60,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
36870,19,5,4,3902,104,106,63,65,16,252,279,4,6,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2016,235,60,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
40370,20,5,4,3774,104,106,63,65,16,252,279,4,6,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2016,235,60,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
39070,20,5,4,3768,104,106,63,65,16,252,279,4,6,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2016,235,60,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
42020,20,5,4,3781,104,106,63,65,16,252,279,4,6,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,50000,4,150000,5,70000,6,39,50000,2016,235,60,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
36670,20,5,4,3743,104,106,63,65,16,252,279,4,6,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2016,235,60,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
35370,20,5,4,3737,104,106,63,65,16,252,279,4,6,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2016,235,60,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
41870,19,5,4,3936,104,106,63,65,16,252,279,4,6,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2016,235,60,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
40570,19,5,4,3931,104,106,63,65,16,252,279,4,6,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2016,235,60,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
43520,19,5,4,3946,104,106,63,65,16,252,279,4,6,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,50000,4,150000,5,70000,6,39,50000,2016,235,60,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
38170,19,5,4,3907,104,106,63,65,16,252,279,4,6,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2016,235,60,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
36495,19,5,4,3838,104,106,63,66,16,251,273,4,6,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2015,235,60,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
38795,20,5,4,3732,104,106,63,66,16,251,273,4,6,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2015,235,60,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
35095,20,5,4,3717,104,106,63,66,16,251,273,4,6,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2015,235,60,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
40195,19,5,4,3852,104,106,63,66,16,251,273,4,6,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2015,235,60,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
35920,19,5,4,3838,104,106,63,66,16,251,273,4,6,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2014,235,60,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
38220,20,5,4,3732,104,106,63,66,16,251,273,4,6,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2014,235,60,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
34520,20,5,4,3717,104,106,63,66,16,251,273,4,6,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2014,235,60,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
39620,19,5,4,3852,104,106,63,66,16,251,273,4,6,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2014,235,60,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
35720,19,5,4,3838,104,106,63,66,16,251,273,4,6,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2013,235,60,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
38020,20,5,4,3732,104,106,63,66,16,251,273,4,6,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2013,235,60,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
34320,20,5,4,3717,104,106,63,66,16,251,273,4,6,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2013,235,60,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
39420,19,5,4,3852,104,106,63,66,16,251,273,4,6,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2013,235,60,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
34895,17,5,4,3931,101,104,62,65,18,260,240,2,5,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2012,235,55,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
35995,19,5,4,3752,101,104,62,65,18,260,240,2,5,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2012,235,55,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
32895,19,5,4,3743,101,104,62,65,18,260,240,2,5,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2012,235,55,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
37995,17,5,4,3942,101,104,62,65,18,260,240,2,5,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2012,235,55,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
34895,17,5,4,3931,101,104,62,65,18,260,240,2,5,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2011,235,55,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
35995,19,5,4,3752,101,104,62,65,18,260,240,2,5,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2011,235,55,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
32895,19,5,4,3743,101,104,62,65,18,260,240,2,5,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2011,235,55,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
37995,17,5,4,3942,101,104,62,65,18,260,240,2,5,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2011,235,55,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
34520,17,5,4,3931,101,104,62,65,18,260,240,2,5,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2010,235,55,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
35620,19,5,4,3752,101,104,62,65,18,260,240,2,5,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2010,235,55,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
32520,19,5,4,3743,101,104,62,65,18,260,240,2,5,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2010,235,55,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
37620,17,5,4,3942,101,104,62,65,18,260,240,2,5,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2010,235,55,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
33895,17,5,4,3924,101,104,62,65,18,260,240,2,5,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,50000,4,150000,5,70000,6,39,50000,2009,235,55,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
37195,17,5,4,3935,101,104,62,65,18,260,240,2,5,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2009,235,55,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
33195,17,5,4,3924,101,104,62,65,18,260,240,2,5,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,50000,4,150000,5,70000,6,39,50000,2008,235,55,18,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
36695,17,5,4,3935,101,104,62,65,18,260,240,2,5,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2008,235,55,18,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
32995,19,5,4,3968,101,104,62,65,18,260,240,2,5,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,50000,4,150000,5,70000,6,37,50000,2007,235,55,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
36495,19,5,4,3982,101,104,62,65,18,260,240,2,5,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,1,50000,4,150000,5,70000,6,37,50000,2007,235,55,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
44300,20,7,4,4032,133,111,66,67,20,267,290,4,9,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2019,245,60,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
53300,19,6,4,4266,133,111,66,67,20,267,290,4,9,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,50000,4,150000,5,70000,6,39,50000,2019,245,50,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
54800,19,7,4,4275,133,111,66,67,20,267,290,4,9,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,50000,4,150000,5,70000,6,39,50000,2019,265,45,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
51300,19,7,4,4264,133,111,66,67,20,267,290,4,9,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,50000,4,150000,5,70000,6,39,50000,2019,245,50,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
60050,19,7,4,4350,133,111,66,67,20,267,290,4,9,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,50000,4,150000,5,70000,6,39,50000,2019,265,45,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
58050,19,6,4,4303,133,111,66,67,20,267,290,4,9,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,50000,4,150000,5,70000,6,39,50000,2019,265,45,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
52800,26,7,4,4471,131,111,66,67,19,289,321,3,7,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,50000,4,150000,5,70000,6,38,50000,2019,245,50,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
59550,26,6,4,4486,131,111,66,67,19,289,321,3,7,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,50000,4,150000,5,70000,6,38,50000,2019,245,50,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
46300,19,7,4,4239,133,111,66,67,20,267,290,4,9,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2019,245,60,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
51300,20,6,4,4057,133,111,66,67,20,267,290,4,9,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,50000,4,150000,5,70000,6,39,50000,2019,245,50,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
49300,20,7,4,4054,133,111,66,67,20,267,290,4,9,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,50000,4,150000,5,70000,6,39,50000,2019,245,50,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
58050,20,7,4,4136,133,111,66,67,20,267,290,4,9,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,50000,4,150000,5,70000,6,39,50000,2019,265,45,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
56050,20,6,4,4090,133,111,66,67,20,267,290,4,9,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,50000,4,150000,5,70000,6,39,50000,2019,265,45,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
44200,19,7,4,4001,133,111,66,67,20,267,290,4,9,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2018,245,60,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
52600,18,7,4,4262,133,111,66,67,20,267,290,4,9,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2018,245,50,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
50600,18,7,4,4244,133,111,66,67,20,267,290,4,9,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2018,245,50,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
58650,19,7,4,4292,133,111,66,67,20,267,290,4,9,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,50000,4,150000,5,70000,6,39,50000,2018,245,50,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
56650,19,6,4,4257,133,111,66,67,20,267,290,4,9,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,50000,4,150000,5,70000,6,39,50000,2018,245,50,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
52100,26,7,4,4471,131,111,66,67,19,289,321,3,7,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,38,50000,2018,245,50,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
58150,26,6,4,4484,131,111,66,67,19,289,321,3,7,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,50000,4,150000,5,70000,6,38,50000,2018,245,50,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
46200,18,7,4,4215,133,111,66,67,20,267,290,4,9,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2018,245,60,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
50600,19,7,4,4061,133,111,66,67,20,267,290,4,9,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2018,245,50,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
48600,19,7,4,4028,133,111,66,67,20,267,290,4,9,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2018,245,50,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
56650,20,7,4,4087,133,111,66,67,20,267,290,4,9,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,50000,4,150000,5,70000,6,39,50000,2018,245,50,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
54650,20,6,4,4065,133,111,66,67,20,267,290,4,9,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,50000,4,150000,5,70000,6,39,50000,2018,245,50,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
43015,19,7,4,3960,132,111,66,68,20,267,290,4,9,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2016,245,60,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
52640,18,7,4,4262,132,111,66,68,20,267,290,4,9,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2016,245,55,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
51440,18,7,4,4260,132,111,66,68,20,267,290,4,9,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2016,245,55,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
50640,18,7,4,4213,132,111,66,68,20,267,290,4,9,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2016,245,55,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
49440,18,7,4,4211,132,111,66,68,20,267,290,4,9,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2016,245,55,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
57230,19,7,4,4319,132,111,66,68,20,267,290,4,9,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,50000,4,150000,5,70000,6,39,50000,2016,245,55,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
55230,19,7,4,4246,132,111,66,68,20,267,290,4,9,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,50000,4,150000,5,70000,6,39,50000,2016,245,55,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
46515,18,7,4,4200,132,111,66,68,20,267,290,4,9,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2016,245,60,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
45015,18,7,4,4195,132,111,66,68,20,267,290,4,9,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2016,245,60,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
50640,19,7,4,4070,132,111,66,68,20,267,290,4,9,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2016,245,55,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
49440,19,7,4,4067,132,111,66,68,20,267,290,4,9,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2016,245,55,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
48640,19,7,4,4004,132,111,66,68,20,267,290,4,9,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2016,245,55,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
47440,19,7,4,4001,132,111,66,68,20,267,290,4,9,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,50000,4,150000,5,70000,6,39,50000,2016,245,55,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
55230,20,7,4,4246,132,111,66,68,20,267,290,4,9,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,50000,4,150000,5,70000,6,39,50000,2016,245,55,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
