,Price,MPG,passenger_capacity,passenger_door,weight_lbs,passenger_volume_ft3,wheelbase_in,trach_width_front_in,height_in,fuel_tank_gal,sae_net_torque_rpm,sae_net_horsepower_rpm,Displacement,trans_type,airbag_frontal_driver,airbag_frontal_passenger,airbag_passenger_switch_onoff,airbag_side_body_front,airbag_side_body_rear,aibag_side_head_front,aibag_side_head_rear,brakes_abs,child_safety_doorlocks_rear,daytime_running_lights,traction_control,night_vision,rollover_protection_bars,fog_lamps,parking_aid,tire_pressure_motor,backup_camera,stability_control,Mileage,basic_years,corrosion_miles_km,corrosion_years,Drivetrain_Years,Curb_to,road_size,Make,front_wid,rim,Engine_Electric,Engine_Flat,Engine_I6,Engine_l3,Engine_l4,Engine_l5,Engine_l6,Engine_V6,Engine_V8,Engine_V10,Engine_V12,Engine_W8,Engine_W12,Drivetrain_4WD,Drivetrain_AWD,Drivetrain_FWD,Drivetrain_RWD,Category_Car,Category_Pickup,Category_SUV,Category_Van
child_safety_doorlocks_rear,-0.227123298,0.144551939,0.474345212,0.807821155,0.102742005,0.390144731,0.218724984,0.19820763,0.381033078,0.05417047,-0.26632339,-0.258886026,-0.228939304,-0.048646454,0.070403435,0.102391793,-0.037540398,0.092380586,0.081586184,0.356986,0.381834226,0.051970522,1,0.063371786,0.045140884,NA,-0.21933586,-0.013699767,0.024708993,0.205725197,0.166371547,0.087675246,-0.079256377,0.035698708,0.040709532,-0.113246558,0.149306984,0.157566237,0.178681963,-0.017471197,0.134001333,0.291568702,-0.021691299,NA,-0.131495273,-0.090957945,0.021560448,0.117316991,-0.033166301,-0.056028513,0.21714489,-0.328671464,-0.033762876,-0.030654869,NA,-0.090988874,0.026897989,0.105423057,0.236188723,-0.415688954,-0.233630359,NA,0.241077615
daytime_running_lights,0.196100762,0.119309521,-0.011842769,-0.00672117,0.043909958,-0.024235482,0.11653702,0.082816003,-0.098749049,-0.035244912,0.136758172,0.13609936,-0.047891215,0.236214435,0.055466456,0.00783265,-0.127621874,0.308931311,0.134332787,0.316449349,0.322468774,0.271292466,0.063371786,1,0.340736305,NA,0.000750759,-0.022280294,0.194737434,0.385079567,0.450725232,0.385832488,0.075078939,0.054029358,-0.087319252,0.102618694,0.024156193,-0.116719012,0.102779249,0.079290799,0.511774038,-0.305473517,0.27401746,NA,0.04650612,0.057459464,0.016470326,0.068354353,0.014621088,0.055819579,-0.104493823,-0.019943769,0.010294157,-0.016297372,NA,0.024350863,-0.163804078,0.090785567,-0.026234118,0.003325605,0.032167055,NA,-0.020563866
traction_control,0.224904919,-0.08164889,-0.016802105,-0.010152585,0.235716966,0.002185902,0.158573793,0.150379483,0.026695071,0.096735572,0.214373671,0.252593933,0.074615155,0.267508496,0.050880228,0.024986401,0.023620743,0.608441198,0.112926473,0.523997316,0.410107879,0.712187467,0.045140884,0.340736305,1,NA,0.062785077,0.142935604,0.184505307,0.478214975,0.270316892,0.817667752,0.100341957,0.090583375,0.070735969,0.197330585,0.073738251,0.002260159,0.132923231,0.186805451,0.44793527,-0.310344327,0.389302558,NA,0.046636751,0.059620168,0.01159456,-0.038946269,0.006194593,0.023649372,-0.050574395,0.058150718,0.016985694,0.017544429,NA,0.025237389,-0.124169308,0.195510157,-0.167280258,0.037295598,-0.043562148,NA,0.02989365
night_vision,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rollover_protection_bars,0.202585807,-0.055529092,-0.19600901,-0.277151869,0.100844712,-0.170693904,-0.101745087,-0.072654888,-0.109200218,-0.009585955,0.054417992,0.055910404,-0.028470548,0.057490342,-0.013081019,-0.047826977,0.076097397,0.076778895,-0.077747526,-0.209362523,-0.195467907,0.053786833,-0.21933586,0.000750759,0.062785077,NA,1,0.085253203,-0.007581942,0.022445223,-0.11774265,0.079130572,0.141916505,0.08349043,0.078360295,0.224908739,-0.096538721,-0.10152979,-0.061157463,0.156093205,-0.063842832,-0.117300887,0.032289474,NA,0.076097397,0.140604302,-0.007982613,-0.006732522,-0.004264848,0.082552276,-0.119638903,0.036349018,0.039770436,-0.012078974,NA,0.063725348,0.01703205,0.036413013,-0.076792705,0.043785356,0.050443438,NA,-0.040493522
fog_lamps,0.028192133,-0.096348747,0.07980161,0.017890787,0.157492787,0.063503971,0.057852386,-0.034601467,0.082363583,0.091592417,0.051638677,0.009443558,0.011292847,-0.006272103,0.016468416,-0.019307246,0.004026767,0.097148966,-0.132924077,0.070221892,0.036125743,0.171823074,-0.013699767,-0.022280294,0.142935604,NA,0.085253203,1,0.009820448,0.059931374,-0.094930298,0.078491591,-0.003984931,0.087587897,0.062037493,0.25310941,-0.105383893,-0.068117967,0.02612165,0.162179786,-0.137553684,-0.12118087,0.156437892,NA,0.092169627,0.135927412,-0.004868595,-0.062810003,-0.025807465,0.024438632,-0.081808839,0.10169282,-0.033645776,0.041927064,NA,-0.049990983,0.077903487,0.150688665,-0.158149815,-0.014554265,-0.057759169,NA,0.071689962
parking_aid,0.403641454,-0.200935311,0.114943511,0.002090115,0.409435499,0.185044083,0.344220151,0.31289687,0.106926908,0.296500603,0.379533708,0.381103127,0.221995143,0.310588375,0.025894255,0.037659515,-0.065273654,0.185662153,0.198483919,0.130506523,0.199142145,0.144696336,0.024708993,0.194737434,0.184505307,NA,-0.007581942,0.009820448,1,0.22801633,0.422969317,0.226756801,0.096832116,-0.011807189,0.087216652,0.024123119,0.008004136,-0.064389142,0.277381706,0.026207516,0.326589271,-0.272848957,0.484277929,NA,-0.091837943,-0.061248399,0.023712091,-0.179748946,-0.012198505,0.090923062,0.115960327,0.099341788,0.046101869,0.088701954,NA,0.100733609,-0.04273073,0.131068081,-0.148829899,0.050895225,-0.036996388,NA,0.043190644
tire_pressure_motor,0.066056038,0.085571387,0.198153453,0.111710083,0.188489011,0.237742888,0.23741786,0.271382001,0.25091672,-0.016983216,0.036065585,0.072472714,-0.088463641,0.218653518,-0.009296048,-0.030254146,-0.190928527,0.417200041,0.17111192,0.497813098,0.577869396,0.389121874,0.205725197,0.385079567,0.478214975,NA,0.022445223,0.059931374,0.22801633,1,0.337973445,0.556678312,0.017218148,-0.006605933,0.166170173,-0.015307729,0.214605201,0.124307217,0.136518862,0.104584677,0.656622612,-0.089457706,0.362634181,NA,-0.190928527,0.070710884,0.018342491,0.132453326,0.009799791,0.037413096,-0.003817052,-0.156721593,0.026871217,-0.049964842,NA,0.033902485,-0.069770306,0.082855413,0.057296827,-0.130927979,-0.172644194,NA,0.153223193
backup_camera,0.12605864,0.147016873,0.145947295,0.109713005,0.114252688,0.184484971,0.153647077,0.291689815,0.141407488,-0.021565208,0.124808174,0.159034091,-0.011627675,0.197448735,0.036788065,0.053503014,-0.130474509,0.308309995,0.108666599,0.262790523,0.353668094,0.213600114,0.166371547,0.450725232,0.270316892,NA,-0.11774265,-0.094930298,0.422969317,0.337973445,1,0.334530686,-0.075209767,-0.061324189,0.106603002,-0.206508932,0.044404311,0.088010987,0.153836565,-0.190541107,0.683357438,-0.183435275,0.382509497,NA,-0.130474509,-0.145626521,0.04126147,0.095970139,-0.017330462,0.073793654,0.017841498,-0.035688828,-0.025927001,-0.021203913,NA,-0.031716789,-0.047031153,0.03212164,0.0514952,-0.077011468,-0.185467673,NA,0.173367434
stability_control,0.218871611,-0.014550949,0.04816712,0.041471512,0.243681862,0.056929756,0.199018822,0.188594749,0.091663615,0.092198065,0.183158988,0.229032062,0.002793199,0.294046889,0.093365973,0.052010632,0.02556282,0.645435871,0.138108019,0.599036425,0.49905483,0.60185107,0.087675246,0.385832488,0.817667752,NA,0.079130572,0.078491591,0.226756801,0.556678312,0.334530686,1,0.104455706,0.112539429,0.087489784,0.179554518,0.128192736,0.050150344,0.103743523,0.182411145,0.562362548,-0.299143783,0.424815111,NA,0.057036309,0.072914907,0.014180038,0.046498041,0.007575929,0.02892296,-0.107406963,0.000205399,0.020773344,0.021456672,NA,0.03086509,-0.117103378,0.197085904,-0.122843826,-0.021230209,-0.08230629,NA,0.0669833
